	Sound_file	Length (s)	Transcription	nr_words	words per second	preprocessed_transcription	asr_output	asr_output_preprocessed	jiWER	pyWER	myWER
67	246_20141016.wav.pcm	25	now, I’ll look at these three files, I will give you some information about the key points, and the key areas for discussion in council, I’ll start with  the presumption of innocence, because I chaired the working party on that, and I can tell you that this proposal has received a lot of support in the council.	58	2.32	now i ll look at these three files i will give you some information about the key points and the key areas for discussion in council i ll start with the presumption of innocence because i chaired the working party on that and i can tell you that this proposal has received a lot of support in the council 	NOW I I'LL LOOK AT THESE THREE FILES I'LL GIVE YOU SOME INFORMATION ABOUT THE KEY POINTS AND THE KEY AIRIS FOR DISCUSSION AIN CONSON I'LL START WITH THE PRESUMPTION OF INNOCENCE BECAUSE I CHAIR THE WORKING PARTY ON THAT AND I CAN TELL YOU THAT THIS PROPOSAL HAS A RECEIVED A LOT OF SUPPORT IN THE CONSON	now i i ll look at these three files i ll give you some information about the key points and the key airis for discussion ain conson i ll start with the presumption of innocence because i chair the working party on that and i can tell you that this proposal has a received a lot of support in the conson	0.3508771929824561	0.3508771929824562	0.3620689655172413
21	065_20140723.wav.pcm	25	for a few years I was also an employer, I was the director of a company and the quantity of the inspections doesn’t necessarily give you an idea of whether people are working legally or illegally, I’d like to know how these controls actually take place	46	1.84	for a few years i was also an employer i was the director of a company and the quantity of the inspections doesn t necessarily give you an idea of whether people are working legally or illegally i d like to know how these controls actually take place	FOR A FEW YEARS I WAS ALSO AN EMPLOYER I WAS A DIRECTOR OF E COMPANY AND THE QUANTITY OF TE INSPECTIONS DOESN'T NECESSARILY GIVE YOU AN IDEA OF WHERE THER PEOPLE ARE WORKING LEGALLY OR ILLEGALLY I'D LIKE TO KNOW HOW THESE IRE A CONTROLS ATUALLY TAKE PLACE	for a few years i was also an employer i was a director of e company and the quantity of te inspections doesn t necessarily give you an idea of where ther people are working legally or illegally i d like to know how these ire a controls atually take place	0.34782608695652173	0.34782608695652173	0.34782608695652173
57	046_20140925.wav.pcm	26	through the ongoing management of the early warning system on new drugs, in line with a new legislat legislative framework which is expected to replace the current decision, which was mentioned already, and we will further invest in the EMCVA’s thread assessment capacity,  which includes waste water and (…) analysis, and obviously the early warning system that I have already mentioned. Ladies and gentlemen, after four years	68	2.6153846153846203	through the ongoing management of the early warning system on new drugs in line with a new legislat legislative framework which is expected to replace the current decision which was mentioned already and we will further invest in the emcva s thread assessment capacity which includes waste water and analysis and obviously the early warning system that i have already mentioned ladies and gentlemen after four years	THROUGH THE ONGOING MANAGEMENT OF THE EARLY MORNING SYSTEM ON UDOAX IN LINE WITH A NEW LEGISLATE LEGISLATIF A FRAMEWORK WHICH IS EXPECTED TO REPLACE THE CURRENT DECISION IT WAS MENTIONED ALREADY AND WE WILL FURTHER INVEST IN THE M SIDI A THREATERSESSMENT CAPACITY WHICH INCLUDES RASED WATER AND TRANSPORTER ANALYSIS AND OBVIOUSLY THE EARLY MORNING SYSTEM THAT I HAVE ALREADY MENTIONED LISTEN GENTLEMEN AFTER FOUR YEARS	through the ongoing management of the early morning system on udoax in line with a new legislate legislatif a framework which is expected to replace the current decision it was mentioned already and we will further invest in the m sidi a threatersessment capacity which includes rased water and transporter analysis and obviously the early morning system that i have already mentioned listen gentlemen after four years	0.34328358208955223	0.34328358208955223	0.3382352941176471
71	130_20141106.wav.pcm	20	basic rights, then we should know, I mean that is a matter of legal centainty, we should know, exactly, what the grounds for those exceptions are, and, the thing is that if you use a term that has a different meaning, not only across the EU member states, but also in the countries that we have agreements with	58	2.9	basic rights then we should know i mean that is a matter of legal centainty we should know exactly what the grounds for those exceptions are and the thing is that if you use a term that has a different meaning not only across the eu member states but also in the countries that we have agreements with	BASIC RIGHTS AND WE SHOULD KNOW I MEAN THAT'S A MATTER OF LEGAL CERTAINTY WE SHOULD KNOW EXACTLY WHAT THE GROUNDS FOR THOSE EXCEPTIONS ARE AND THE THING IS THAT IF YOU USE A TERM WHICH HAS A DIFFERENT MEANING NOT ONLY ACROSS THE EUMEMBER STATES BUT ALSO IN THE COUNTRY IS THAT WE THAT WE HAVE AGREEMENTS WITH	basic rights and we should know i mean that s a matter of legal certainty we should know exactly what the grounds for those exceptions are and the thing is that if you use a term which has a different meaning not only across the eumember states but also in the country is that we that we have agreements with	0.3275862068965517	0.32758620689655177	0.32758620689655177
15	013_20140714.wav.pcm	21	and these are the areas that the JURI members are going to focus in their questions, I am sure madam that after your election the cooperation with yourself is going to be as fruitfull as it was in the past with madam Reding when she was	46	2.19047619047619	and these are the areas that the juri members are going to focus in their questions i am sure madam that after your election the cooperation with yourself is going to be as fruitfull as it was in the past with madam reding when she was	AND THESE ARE THE ERRIAS THAT THE YOU REMEMBERS ARE GOING TO FOCUSS IN THERE ER QUESTIONS I AM SURE MADAME THAT E AFTER YOUR ELECTION THE COPERITION WITH YOURSELF IS GOING TO BE AS FRUITFUL AS IT WAS IN THE PAST WITH E MADAME REDINCUIN SHE WAS	and these are the errias that the you remembers are going to focuss in there er questions i am sure madame that e after your election the coperition with yourself is going to be as fruitful as it was in the past with e madame redincuin she was	0.32608695652173914	0.32608695652173914	0.32608695652173914
39	457_20140904.wav.pcm	17	remarks, and I would also like to know if the commission continues to refuse to propose an lgbti roadmap. And I would really like to know what the commission will do, finally, to start protecting the privacy of European citizens, and I conclude	43	2.52941176470588	remarks and i would also like to know if the commission continues to refuse to propose an lgbti roadmap and i would really like to know what the commission will do finally to start protecting the privacy of european citizens and i conclude	REMARKS I WOULD ALSO LIKE TO KNOW IF THE COMMISSION CONTINUES TO REFUSE TO PROPOSE AN ELGEBITI I WROTE MAPP AND I WOULD REALLY LIKE TO KNOW WHAT THE COMMISSION WILL DO FINALLY TO START PROTECTING THE PRIVACY OF EUROPEAN CITIZENS AND I CONCLUDE	remarks i would also like to know if the commission continues to refuse to propose an elgebiti i wrote mapp and i would really like to know what the commission will do finally to start protecting the privacy of european citizens and i conclude	0.32558139534883723	0.32558139534883723	0.32558139534883723
37	455_20140904.wav.pcm	17	Have the people they are talking about been defended, protected by the commission? No they have not, because the commission has been extremely timid in intervening in the member states violating fundamental rights. One of the many examples was just	40	2.35294117647059	have the people they are talking about been defended protected by the commission no they have not because the commission has been extremely timid in intervening in the member states violating fundamental rights one of the many examples was just	HAVE ID THE PEOPLE THAT THEY ARE TALKING ABOUT BEING DEFENDED PROTECTED BY THE COMMISSION NO THEY HAVE NOT BECAUSE THE COMMISSION HAS BEEN EXTREMELY TIMID AND INTERVENING IN TE MEMBER STAYS VIOLATING FUNDAMENTAL RIGHTS ONE OF THE MANY EXAMPLES WAS JUST	have id the people that they are talking about being defended protected by the commission no they have not because the commission has been extremely timid and intervening in te member stays violating fundamental rights one of the many examples was just	0.325	0.325	0.325
11	009_20140714.wav.pcm	17	okay, thank you for putting your objection so politely and effectively, that’s noted and we will move on to the first statement of mister slobodan, thank you mister chairman, I would also	32	1.88235294117647	okay thank you for putting your objection so politely and effectively that s noted and we will move on to the first statement of mister slobodan thank you mister chairman i would also	OKEY THANK YOU FOR PUTTING YOUR OBJECTION SO POLITELY AND EFFECTIVELY AND THAT'S NOTED AND WE'LL MOVE ON TO THE FIRST STATEMENT FROM MISTER SPOBBERDAM THANK YOU MISTER CHERMAN I WOULD ALSO	okey thank you for putting your objection so politely and effectively and that s noted and we ll move on to the first statement from mister spobberdam thank you mister cherman i would also	0.3125	0.3125	0.3125
38	456_20140904.wav.pcm	18	mentioned by my colleague. I think there was another remark ascribed to mister Orbán, who said that we don’t need immigration anymore, because there are ten million Roma people that we have for doing the dirty and the heavy work. I would like to know the position of the commission of such	52	2.88888888888889	mentioned by my colleague i think there was another remark ascribed to mister orbán who said that we don t need immigration anymore because there are ten million roma people that we have for doing the dirty and the heavy work i would like to know the position of the commission of such	MENTIONED BY MY COLEAGUE I THINK THERE WAS ANOTHER REMARK ASCRIBED TO MISTER ORLBUN WHO SAID THAT WE DON'T NEED IMMIGRATION ANY MORE BECAUSE THE'RE TEN MILLION ROMUP PEOPLE THAT WE HAVE FOR DOING AT THE DIRTY AN HEAVY WORK I WOULD LIKE TO KNOW THE POSITION OF THE COMMISSION ABOUT SUCH	mentioned by my coleague i think there was another remark ascribed to mister orlbun who said that we don t need immigration any more because the re ten million romup people that we have for doing at the dirty an heavy work i would like to know the position of the commission about such	0.3076923076923077	0.3076923076923077	0.3076923076923077
13	011_20140714.wav.pcm	19	I would like to stress that the cooperation between our committees is very important because there are areas of common interest among us, there are also areas of responsibility of the commissional designate	33	1.73684210526316	i would like to stress that the cooperation between our committees is very important because there are areas of common interest among us there are also areas of responsibility of the commissional designate	AND I WOULD LIKE TO STRESS THAT THE COPERATION BETWEEN AOUR COMMITTEES IS VERY IMPORTANT AND BECAUSE THERE ARE AREAS OF COMMON INTEREST AMONG US A AND THERE ALSO AREAS OF RESPONSIBILITY OF THE COMMISSIONER DESIGNATE	and i would like to stress that the coperation between aour committees is very important and because there are areas of common interest among us a and there also areas of responsibility of the commissioner designate	0.30303030303030304	0.30303030303030304	0.30303030303030304
14	012_20140714.wav.pcm	15	that overlap with the field of, of responsibility of the JURI committee, namely the field of civil justice including family law and private international law	25	1.6666666666666698	that overlap with the field of of responsibility of the juri committee namely the field of civil justice including family law and private international law	THAT OVERLAP A WITH THE FIELD OF  OF A RESPONSIBILITY OF THE GURI COMMITTEE A NAMELY A THE FIELD OF CIVIL JUSTICE INCLUDING FAMILY LAW AND PRIVATE INTERNATIONAL LAW	that overlap a with the field of of a responsibility of the guri committee a namely a the field of civil justice including family law and private international law	0.28	0.28	0.28
76	135_20141106.wav.pcm	24	consulting the legal services of the council and the parliament, because the three institutions together pass legislation the whole time, well, it’s about time that we agree on the definition, even, even if the agreement would mean, the definitions as applied in the member states, but it should be absolutely clear to citizens when  our laws apply and when they don’t	62	2.5833333333333304	consulting the legal services of the council and the parliament because the three institutions together pass legislation the whole time well it s about time that we agree on the definition even even if the agreement would mean the definitions as applied in the member states but it should be absolutely clear to citizens when our laws apply and when they don t	CONSULTING THE LEGAL SERVICES OF THE COUNCIL AND PARLIAMENT BECAUSE THE THREE INSTITUTIONS TOGETHER PAST LEGISLATION THE WHOLE TIME WELL IT'S ABOUT TIME THAT WE AGREE ON A DEFINITION EVEN EVEN IF THE AGREEMENT WOULD MEAN A IN THE DEFINITIONS AS APPLIED IN A MEMBER STATES BUT IT SHOULD BE ABSOLUTELY CLEAR TO CITIZENS WHEN OUR LAWS APPLY AND WHEN THEY DON'T	consulting the legal services of the council and parliament because the three institutions together past legislation the whole time well it s about time that we agree on a definition even even if the agreement would mean a in the definitions as applied in a member states but it should be absolutely clear to citizens when our laws apply and when they don t	0.2786885245901639	0.27868852459016397	0.2903225806451613
81	079_20141110.wav.pcm	19	so, the intended balance between the specific objectives is maintained, the total funds available in the two thousand fourteen budget for the two programs are approximately one hundred million euros.	30	1.57894736842105	so the intended balance between the specific objectives is maintained the total funds available in the two thousand fourteen budget for the two programs are approximately one hundred million euros 	SO THEY INTENDED BALANCE BETWEEN THE SPECIFIC OBJECTIVES ISE MAINTAIN THE TOTAL FANS AVAILABLE IN THE TWO THOUSAND FOURTEEN BADGET FOR THE TWO PROGRAMS ARE APPROXIMATELY ONE HUNDRED MILLIONS EUROS	so they intended balance between the specific objectives ise maintain the total fans available in the two thousand fourteen badget for the two programs are approximately one hundred millions euros	0.26666666666666666	0.26666666666666666	0.26666666666666666
56	045_20140925.wav.pcm	16	during two thousand sixteen to eighteen, we will also enhance our capacity to provide evidence for action through further investment in the area of responses to drug use, in particular, best practices. And we will further improve the timeliness of our information.	42	2.625	during two thousand sixteen to eighteen we will also enhance our capacity to provide evidence for action through further investment in the area of responses to drug use in particular best practices and we will further improve the timeliness of our information 	DURING TWUSAS AND SIXTEEN TO EIGHTEEN WE WILL ALSO INHANCE OUR CAPACITY TO PROVIDE EVIDENCE FOR ACTION FOR FURTHER INVESTMENT IN THE AREA OF RESPONSES TO TACCUUS IN PARTICULAR BEST PRACTICES AND WE WILL FURTHER IMPROVE THE TIMELINESS OF OUR INFORMATION	during twusas and sixteen to eighteen we will also inhance our capacity to provide evidence for action for further investment in the area of responses to taccuus in particular best practices and we will further improve the timeliness of our information	0.2619047619047619	0.2619047619047619	0.2619047619047619
86	159_20141110.wav.pcm	20	then what is the output until now of the implementation of the annual work programe for two thousand fourteen because as you know we are already half a year on it’s way, in relation to the, as far as the implementation is concerned, we have issued, we have published the first call for grants for the amount of six hundred thousand euros.	62	3.1	then what is the output until now of the implementation of the annual work programe for two thousand fourteen because as you know we are already half a year on it s way in relation to the as far as the implementation is concerned we have issued we have published the first call for grants for the amount of six hundred thousand euros 	NOW WHAT IS THE OUTPOOT UNTIL NOW OF THE IMPLEMENTATION OF THE ANNUAL WORK PROGRAMME FOR TWO THOUSAND FORTEIN BECAUSE AS YOU KNOW WE ARE ALREADY LETS A HALL FOR YEAR ON ITS WAY IN RELATION TO THE ERM AS FAR AS THE INTEMPTATION IS CONCERNED WE HAVE ISSUED WE HAVE PUBLISHED THE FIRST CALL FOR GRANTS FOR AN AMOUNT OF SIX HUNDRED THOUSAND HURARS	now what is the outpoot until now of the implementation of the annual work programme for two thousand fortein because as you know we are already lets a hall for year on its way in relation to the erm as far as the intemptation is concerned we have issued we have published the first call for grants for an amount of six hundred thousand hurars	0.25806451612903225	0.25806451612903225	0.25806451612903225
64	243_20141016.wav.pcm	15	we think it’s important to have a very high level of European legislation on the guarantees for procedural rights, and that’s one of our priorities, and this is why we are	31	2.06666666666667	we think it s important to have a very high level of european legislation on the guarantees for procedural rights and that s one of our priorities and this is why we are	WE THINK IT'S IMPORTANT TO HAVE A VERY HIGH LEVEL OF EUROPEAN LEGISLATION ON THE GUARANTEES FOR PRECEDIUAL RIGHTS AND THAT'S ONE OF OUR PRIORITIES AND THIS IS WHY WE ARE	we think it s important to have a very high level of european legislation on the guarantees for precediual rights and that s one of our priorities and this is why we are	0.25806451612903225	0.25806451612903225	0.25806451612903225
55	044_20140925.wav.pcm	28	and we will do that by strengthening our monitoring system which is built on the data collected from the national focal points in the twenty eight member states in Norway and Turkey, and we will do that by describing and analyzing the (…) from both a supply and demand perspective. And there will be an increased focus on monitoring the drug use and developing a framework for monitoring the misuse of medicines.	72	2.57142857142857	and we will do that by strengthening our monitoring system which is built on the data collected from the national focal points in the twenty eight member states in norway and turkey and we will do that by describing and analyzing the from both a supply and demand perspective and there will be an increased focus on monitoring the drug use and developing a framework for monitoring the misuse of medicines 	AND WE WILL DO THAT BY STRENGTHENING OUR MONITOING SYSTEM WHICH IS BUILT ON THE DATA COLLECTED FROM THE NATIONAL FOCAL POINTS IN THE TWENTY EIGHT MEMBER STATES IN NORWAY AND TURKEY AND WE WILL DO THAT BY DESCRIBING AND ANALYZING THE DRAG PHENOMENON FROM POST A SUPPLY AND A DEMAND PERSPECTIVE AND THERE WILL BE INCREASED FOCUS ON MONITOING POLYTUACUS AND DEVELOPING A FRAMEBORK FROR MONITOING THE MISUSE OF MEDICINES	and we will do that by strengthening our monitoing system which is built on the data collected from the national focal points in the twenty eight member states in norway and turkey and we will do that by describing and analyzing the drag phenomenon from post a supply and a demand perspective and there will be increased focus on monitoing polytuacus and developing a framebork fror monitoing the misuse of medicines	0.25	0.25	0.25
44	005_20140915.wav.pcm	18	this is a very very important topic, and I think we haven’t had a proper discussion on it yet, and I think it is important that we draw the attention of members of parliament to the fact that this agreement could have major, a major impact	46	2.55555555555556	this is a very very important topic and i think we haven t had a proper discussion on it yet and i think it is important that we draw the attention of members of parliament to the fact that this agreement could have major a major impact	THIS IS A VERY VERY IMPORTANT TOPIC AND I THINK WE HAVEN'T HAD A PROPER DISCUSSION ON IT YET AND I THINK IT SO IMPORTANT THAT WE DRAW THE ATTENTION OF MEMBERS OF THE PARLIAMENT TO THE FACT THAT THIS AGREEMENT COULD HAVE MADE YOU A MAJOUR IMPACT	this is a very very important topic and i think we haven t had a proper discussion on it yet and i think it so important that we draw the attention of members of the parliament to the fact that this agreement could have made you a majour impact	0.2391304347826087	0.2391304347826087	0.2391304347826087
42	003_20140915.wav.pcm	16	our group has obviously been promoting equal treatment of workers, the point of criticism I want to make pertains to procedure	21	1.3125	our group has obviously been promoting equal treatment of workers the point of criticism i want to make pertains to procedure	OUR GROUP HAS ALWAS THEY BEEN PROMOTING EQUAL TREATMENT OF WORKERS THE POINT OF CRITICISM I WANT TO RAISE PERTAINS TO PROCEDURE	our group has alwas they been promoting equal treatment of workers the point of criticism i want to raise pertains to procedure	0.23809523809523808	0.2380952380952381	0.23809523809523805
63	242_20141016.wav.pcm	22	and then to tell you about the file on rights of minors and that was started under the Greek presidency with a first reading, now firstly I can say that the Italian presidency has supported and will support all of these three proposals, we think that they are very very important.	51	2.31818181818182	and then to tell you about the file on rights of minors and that was started under the greek presidency with a first reading now firstly i can say that the italian presidency has supported and will support all of these three proposals we think that they are very very important 	AND THEN TO TELL YOU ABOUT THE AIR FILE ON WRITES OF MINERS THAT WAS STARTED UNDER THE GREEK PRESIDENCY WITH OUR FIRST READING NOT FIRSTLY I CAN SAY THAT THE ITALIAN PRESIDENCY HAS SUPPORTED AND WILL SUPPORT ALL OF THESE THREE PROPOSALS WE THINK THAT THEY ARE VERY VERY IMPORTANT	and then to tell you about the air file on writes of miners that was started under the greek presidency with our first reading not firstly i can say that the italian presidency has supported and will support all of these three proposals we think that they are very very important	0.23529411764705882	0.23529411764705885	0.2352941176470588
73	132_20141106.wav.pcm	17	except for, you know, when reasons of national security justify not applying those safeguards, but, does that mean that the national security of the united states actually define when European law applies to me?	34	2.0	except for you know when reasons of national security justify not applying those safeguards but does that mean that the national security of the united states actually define when european law applies to me 	EXCEPT FOR YOU KNOW WHEN REASONS OF NATIONAL SECURITY JUSTIFY NULTIPLYING THOSE SAFEGUARDS BUT DOES THAT MEAN THAT THE NATIONAL SECURITY OF THE UNITED STATES ACTUALLY DEFINE WHEN EUROPEAN LAW APPLIES TO ME	except for you know when reasons of national security justify nultiplying those safeguards but does that mean that the national security of the united states actually define when european law applies to me	0.23529411764705882	0.23529411764705885	0.2352941176470588
62	241_20141016.wav.pcm	18	legislation, and I’d like to thank you for the invitation to attend this meeting, it is an honor to be here today and to tell you about what we are doing in the council on the two proposals that we started to work on under our presidency.	47	2.61111111111111	legislation and i d like to thank you for the invitation to attend this meeting it is an honor to be here today and to tell you about what we are doing in the council on the two proposals that we started to work on under our presidency 	LEGISLATION AND I'D LIKE TO THANK YOU FOR THE INVITATION TO ATTEND THIS MEETING IT'S AN HONOR TO BE HERE TO DAY AND TO TELL YOU ABOUT WHAT WE'RE DOING IN THE KIND SOM ON THE TWO PROPOSALS THAT WE STARTED TO WORK ON UNDER OUR PRESIDENCY	legislation and i d like to thank you for the invitation to attend this meeting it s an honor to be here to day and to tell you about what we re doing in the kind som on the two proposals that we started to work on under our presidency	0.23404255319148937	0.23404255319148937	0.23404255319148937
2	018_20140701.wav.pcm	15	and as there is only one candidate, I would like to suggest to proceed with the election of the chair by acclamation, so I have to ask do you agree that it should be by acclamation and you don’t want (…), thank you	43	2.86666666666667	and as there is only one candidate i would like to suggest to proceed with the election of the chair by acclamation so i have to ask do you agree that it should be by acclamation and you don t want thank you	AND AS THERE IS ONLY ONE CANDIDATE I WOULD LIKE TO SUGGEST TO PROCEED RA THE ELECTION OF THE CHAIR BY ACCLAMATION A SO I HAVE TO ASK IT DO YOU AGREE THAT IT SHOULD BE BY ACCLAMATION AND YOU DON'T WANT ESIGITAL THANK YOU	and as there is only one candidate i would like to suggest to proceed ra the election of the chair by acclamation a so i have to ask it do you agree that it should be by acclamation and you don t want esigital thank you	0.23255813953488372	0.23255813953488372	0.23255813953488372
27	071_20140723.wav.pcm	17	now, it has been very difficult for some of these workers to get unpaid wages and things like that after they have fallen victim to this kind of situation, so it is important that we should be strengthening the rights for undocumented immigrants	43	2.52941176470588	now it has been very difficult for some of these workers to get unpaid wages and things like that after they have fallen victim to this kind of situation so it is important that we should be strengthening the rights for undocumented immigrants	NOW IT H'S BEEN VERY DIFFICULT FOR SOME OF THESE WORKERS TO GET A UNPAID WAGES AND THINGS LIKE THAT AFTER THEY'VE FOR FALLEN VICTIM TO THIS KIND OF SITUATION SO IT'S IMPORTANT WE SHOULD BE STRENGTHENING THE RIGHTS FOR A UNDOCUMENTED IMMIGRANTS	now it h s been very difficult for some of these workers to get a unpaid wages and things like that after they ve for fallen victim to this kind of situation so it s important we should be strengthening the rights for a undocumented immigrants	0.23255813953488372	0.23255813953488372	0.23255813953488372
33	451_20140904.wav.pcm	15	yes thank you chair, and I apologize in advance for not being able to stay until the end of this session, listening to these three presentation I get the impression that we are not talking about the same planet.	39	2.6	yes thank you chair and i apologize in advance for not being able to stay until the end of this session listening to these three presentation i get the impression that we are not talking about the same planet 	YES THANK YOU CHER AND I APOLOGIZE IN ADVANCE FOR NOT BEING ABLE TO STAY UNTIL THE END OF THIS SESSION AN LISTENING TO THE THREE PRESENTATIONS I I GET THE IMPRESSION THAT WE ARE NOT TALKING ABOUT THE SAME PLANET	yes thank you cher and i apologize in advance for not being able to stay until the end of this session an listening to the three presentations i i get the impression that we are not talking about the same planet	0.23076923076923078	0.23076923076923075	0.23076923076923075
43	004_20140915.wav.pcm	20	and, what I’d like to ask you is this, could we add to the agenda, an additional point where we could have a democratic discussion about what is happening in Ukraine	31	1.55	and what i d like to ask you is this could we add to the agenda an additional point where we could have a democratic discussion about what is happening in ukraine	AND WHAT I'D LIKE TO ASK YOU IS THIS COULD WE ADD TO THE ADGENDER AN ADDITIONAL POINT WHERE WE COULD HAVE A DEMOCRATIC DISCUSSION ABOUT WHAT IS HAPPENING IN NEW CRANE	and what i d like to ask you is this could we add to the adgender an additional point where we could have a democratic discussion about what is happening in new crane	0.22580645161290322	0.22580645161290325	0.2258064516129032
69	248_20141016.wav.pcm	20	principles of case law coming from the European court, and we have had cooperation from the member states on the commission text here, and we hope that we can reach an agreement, that will be a general one on the text, at the moment we are currently looking at	49	2.45	principles of case law coming from the european court and we have had cooperation from the member states on the commission text here and we hope that we can reach an agreement that will be a general one on the text at the moment we are currently looking at	PRINCIPLES OF CAS LAW COMING FROM THE EUROPEAN COURT AN WE HAVE HAD CO OPERATION FROM THE MEMBER STATES ON THE COMMISSION TEXE HERE AND WE HOPE THAT WE CAN REACH AN AGREEMENT THAT WILL BE A GENERAL ONE ON THE TEXT AT THE MOMENT WE'RE CURRENTLY LOOKING AT	principles of cas law coming from the european court an we have had co operation from the member states on the commission texe here and we hope that we can reach an agreement that will be a general one on the text at the moment we re currently looking at	0.22448979591836735	0.22448979591836735	0.22448979591836735
17	016_20140714.wav.pcm	28	it is one that is, that characterizes all European policy making and we believe that gender equality is absolutely fundamental as is fighting against gender based violence and several different dossiers such as maternity leave and the dossier on women on the the boards of (…) is, are all all extremely fundamental, the difficulties that women are fighting	58	2.0714285714285703	it is one that is that characterizes all european policy making and we believe that gender equality is absolutely fundamental as is fighting against gender based violence and several different dossiers such as maternity leave and the dossier on women on the the boards of is are all all extremely fundamental the difficulties that women are fighting	IT'S ONE THAT IS THAT CHARACTERIZES ALL EUROPEAN POLICY MAKING AND WE BELIEVE THAT GENERARY QUALITY IS ABSOLUTELY FUNDAMENTAL AS IS FIGHTING AGAINST GENDER BASES VIOLENCE AND SEVERAL DIFFERENT DARCIERS SUCH AS MATERNITY LEAVE AND THE DACIER ON WOMEN ON THE BOARDS OF COMPANIES ARE ALL EXTREMELY FUNDAMENTAL THE DIFFICULTIES THAT WOMEN ARE FIGHTING	it s one that is that characterizes all european policy making and we believe that generary quality is absolutely fundamental as is fighting against gender bases violence and several different darciers such as maternity leave and the dacier on women on the boards of companies are all extremely fundamental the difficulties that women are fighting	0.22413793103448276	0.22413793103448276	0.22413793103448276
75	134_20141106.wav.pcm	23	and the commission itself decides, then it should be absolutely clear about the legal terms that it is using, so therefore I really feel, chair, that we should be discussing this further and we should insist that we get a full reply, a written reply by the legal service of the European commission and I I wouldn’t mind	58	2.52173913043478	and the commission itself decides then it should be absolutely clear about the legal terms that it is using so therefore i really feel chair that we should be discussing this further and we should insist that we get a full reply a written reply by the legal service of the european commission and i i wouldn t mind	AND THE COMMISSION ITSELF BESIDES THEN IT SHOULD BE ABSOLUTELY CLEAR ABOUT THE LEGAL TERMS THAT IT IS USING SO THEREFORE I REALLY FEEL CHAIR THAT WE SHOULD BE DISCUSSING THIS FURTHER AND WE SHOULD INSIST THAT WE GET A FULL REPLY A WRITTEN REPLY BY THE LEGAL SERVICE EOF A EUROPEAN COMMISSION AND I I WOULDN'T MIND	and the commission itself besides then it should be absolutely clear about the legal terms that it is using so therefore i really feel chair that we should be discussing this further and we should insist that we get a full reply a written reply by the legal service eof a european commission and i i wouldn t mind	0.22413793103448276	0.22413793103448276	0.22413793103448276
18	017_20140714.wav.pcm	21	in these times of crisis, particularly matters relating to sexual and reproductive health and rights, these are key issues for women and we believe the various questions that the coordinators will reflect that over the course of this afternoon, I won’t take up any more time, lets move on to the speakers from the different committees that will have the floor, thank you	63	3.0	in these times of crisis particularly matters relating to sexual and reproductive health and rights these are key issues for women and we believe the various questions that the coordinators will reflect that over the course of this afternoon i won t take up any more time lets move on to the speakers from the different committees that will have the floor thank you	IN THESE TIMES OF CHRISTIS PARTICULARLY MATTERS RELATING TO ESEXTUAL AND REPRODUCTIVE HEALTH AND WRITES THESE ARE KEY ISSUES FOR WOMEN AND WE BELIEVE THAT THE VARIOUS QUESTIONS THAT THE COORDINATORS BRING WILL REFLECT THAT OVER THE COURSE OF THIS AFTERNOON I WON'T TAKE UP ANY MORE TIME LET'S MOVE ON TO THE SPEAKERS FROM THE DIFFERENT COMMITTEES THAT WILL HAVE THE FLOR THANK YOU	in these times of christis particularly matters relating to esextual and reproductive health and writes these are key issues for women and we believe that the various questions that the coordinators bring will reflect that over the course of this afternoon i won t take up any more time let s move on to the speakers from the different committees that will have the flor thank you	0.20634920634920634	0.20634920634920637	0.20634920634920634
66	245_20141016.wav.pcm	18	we are hoping to start work with you on this file, there have been technical reasons connected to the recent elections which mean that we haven’t been able to start this formally with the parliament. But we are ready and we do want to do that as soon as possible.	50	2.77777777777778	we are hoping to start work with you on this file there have been technical reasons connected to the recent elections which mean that we haven t been able to start this formally with the parliament but we are ready and we do want to do that as soon as possible 	WE ARE HOPING TO START WORK WITH YON THIS WHILE THERE HAVE BEEN TECHNICAL REASONS CONNECTED TWO THE RECENT ELECTIONS WHICH MEAN THAT WE HAVEN'T BEEN ABLE TO START THIS FORMERLY WITH THE PARLIAMENT BUT WE ARE READY AND WE DO WANT TO DO THAT AS SOON AS POSSIBLE	we are hoping to start work with yon this while there have been technical reasons connected two the recent elections which mean that we haven t been able to start this formerly with the parliament but we are ready and we do want to do that as soon as possible	0.2	0.2	0.2
