	filenr	motherfile	asr_output	manual_transcription	manually_checked	duration	nr_words	wavfile_location	transcription_location
541	420	2015071501	on the security council i understand the european parliament you know that owithin the commission package there was also	on the security council i understand the european parliament you know that owithin the commission package there was also	0	16.15	19	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/420_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/420_2015071501.wav.pcm.txt
542	421	2015071501	a point regarding going to the security council on requesting a resolution i think it was a good idea and i certainly think the intentions were good and the idea was to have something in hand	a point regarding going to the security council on requesting a resolution i think it was a good idea and i certainly think the intentions were good and the idea was to have something in hand	0	20.75	36	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/421_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/421_2015071501.wav.pcm.txt
543	422	2015071501	to come to gripsi with o the atrafficers a who our endangering the lines of hundreds of people i saw some a boats on in lampadusa that to were no longer am at sea they were withdrawn and you can imagine three hundred to four hundred people with children on those boats	to come to gripsi with o the atrafficers a who our endangering the lines of hundreds of people i saw some a boats on in lampadusa that to were no longer am at sea they were withdrawn and you can imagine three hundred to four hundred people with children on those boats	0	25.25	52	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/422_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/422_2015071501.wav.pcm.txt
544	423	2015071501	trying to exista betfor two or three days a before writing and lampadusa these are herendous conditions so the the ideas not to bombarda the ama bot in libia as had been said at one point in time that's not at all the case the resolution	trying to exista betfor two or three days a before writing and lampadusa these are herendous conditions so the the ideas not to bombarda the ama bot in libia as had been said at one point in time that's not at all the case the resolution	0	22.75	46	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/423_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/423_2015071501.wav.pcm.txt
545	424	2015071501	will allow a neutralization not its destruction but a neutralization of the boat said that are used for these trafficing purposes and in order to do this we need a security council resolution and we need a a an invitation from libya to do this so we're not going to deplore european a troops to libya to a put an end to this migration that's not at all the case there certain precautions a at to the security council	will allow a neutralization not its destruction but a neutralization of the boat said that are used for these trafficing purposes and in order to do this we need a security council resolution and we need a a an invitation from libya to do this so we're not going to deplore european a troops to libya to a put an end to this migration that's not at all the case there certain precautions a at to the security council	0	29.35	79	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/424_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/424_2015071501.wav.pcm.txt
546	425	2015071501	and a among all members as permanent annon permanent a to make sure that to the right terminology is used and i would just say once again that to libya is not otopu amwe need to have a me comprehensive am solution now on the votes i'm not a european law export expert but to the quota system did not work	and a among all members as permanent annon permanent a to make sure that to the right terminology is used and i would just say once again that to libya is not otopu amwe need to have a me comprehensive am solution now on the votes i'm not a european law export expert but to the quota system did not work	0	29.75	61	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/425_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/425_2015071501.wav.pcm.txt
547	426	2015071501	they are member statesa that said we cannot impose a quotas of refuges of on member states we're no longer talking of quotas a we're talking about figures now the difference of being more philosophical in nature but	they are member statesa that said we cannot impose a quotas of refuges of on member states we're no longer talking of quotas a we're talking about figures now the difference of being more philosophical in nature but	0	20.35	38	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/426_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/426_2015071501.wav.pcm.txt
548	427	2015071501	we shouldn't be too pessimistic here we actually have been able to receive of the necessary number of acceptances a for am resettlement so that's afirst success on relocation that will require further work but i'm a convinced of that tum you know we will be greasing the wheels as it were	we shouldn't be too pessimistic here we actually have been able to receive of the necessary number of acceptances a for am resettlement so that's afirst success on relocation that will require further work but i'm a convinced of that tum you know we will be greasing the wheels as it were	0	24.05	52	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/427_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/427_2015071501.wav.pcm.txt
549	428	2015071501	and um we will make sure that te member states who have not yet to given us any figures will do so now once we've settled that if i understand correctly that will be a decision that will be binding so once it's decided it is binding in terms of a resettlement	and um we will make sure that te member states who have not yet to given us any figures will do so now once we've settled that if i understand correctly that will be a decision that will be binding so once it's decided it is binding in terms of a resettlement	0	25.05	52	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071501/428_2015071501.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071501/428_2015071501.wav.pcm.txt
550	291	2015071502			0	16.15	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/291_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/291_2015071502.wav.pcm.txt
551	292	2015071502			0	18.65	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/292_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/292_2015071502.wav.pcm.txt
552	293	2015071502			0	18.05	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/293_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/293_2015071502.wav.pcm.txt
553	294	2015071502			0	22.25	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/294_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/294_2015071502.wav.pcm.txt
554	295	2015071502			0	27.15	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/295_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/295_2015071502.wav.pcm.txt
555	296	2015071502			0	29.75	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/296_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/296_2015071502.wav.pcm.txt
556	297	2015071502			0	22.05	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/297_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/297_2015071502.wav.pcm.txt
557	298	2015071502			0	15.85	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/298_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/298_2015071502.wav.pcm.txt
558	299	2015071502			0	29.05	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/299_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/299_2015071502.wav.pcm.txt
559	300	2015071502			0	20.75	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071502/300_2015071502.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071502/300_2015071502.wav.pcm.txt
560	144	2015071601	if this european polement report can and i believe will be a bold and outfolk an report that also dares to caverareals that have been avoided so far in the debate it's high time that we speak appened and and be frank regarding the working document on foliderity i very much welcome it	if this european polement report can and i believe will be a bold and outfolk an report that also dares to caverareals that have been avoided so far in the debate it's high time that we speak appened and and be frank regarding the working document on foliderity i very much welcome it	0	18.15	53	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/144_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/144_2015071601.wav.pcm.txt
561	145	2015071601	following the vote this morning on the relocation by scarkeller we can only hope that our ambitious approach will be followed now by member states and enter into practice as soon as possible	following the vote this morning on the relocation by scarkeller we can only hope that our ambitious approach will be followed now by member states and enter into practice as soon as possible	0	29.75	33	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/145_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/145_2015071601.wav.pcm.txt
562	146	2015071601	well members states have frankly up until now left us with a lot more to wish for so let hope that they will get direct together and start working with us to face this this situation i have said it before but once more we have managed to create this monetary union we are on the way with the energeunia and we have the internal market but we still have not managed	well members states have frankly up until now left us with a lot more to wish for so let hope that they will get direct together and start working with us to face this this situation i have said it before but once more we have managed to create this monetary union we are on the way with the energeunia and we have the internal market but we still have not managed	0	17.75	72	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/146_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/146_2015071601.wav.pcm.txt
563	147	2015071601	to to create a human itarian european union and it's high time that we do that i especially would like to welcome also onsolidary the point on mutual recognition of asylum decision and e there are many more things we can say on solidarity at can never be legislated but it can be imclemented when each an every part takes eight	to to create a human itarian european union and it's high time that we do that i especially would like to welcome also onsolidary the point on mutual recognition of asylum decision and e there are many more things we can say on solidarity at can never be legislated but it can be imclemented when each an every part takes eight	0	29.45	61	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/147_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/147_2015071601.wav.pcm.txt
564	148	2015071601	responsibility that's how we create the syriple of trust and sir and trust we lead to solidarity thank you very much that's very much acilia and nogit is certaintynygitis	responsibility that's how we create the syriple of trust and sir and trust we lead to solidarity thank you very much that's very much acilia and nogit is certaintynygitis	0	19.35	29	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/148_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/148_2015071601.wav.pcm.txt
565	149	2015071601	thank you chear and thank you sesilia and secili an lodesta an a lot has been said so i don't have to echo that but why a de need for a safe and lawful routs wt we all know the answer and we just don't want people to be forced to take a unsafe route	thank you chear and thank you sesilia and secili an lodesta an a lot has been said so i don't have to echo that but why a de need for a safe and lawful routs wt we all know the answer and we just don't want people to be forced to take a unsafe route	0	20.75	55	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/149_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/149_2015071601.wav.pcm.txt
566	150	2015071601	and it's i think four years now that we see refugees from syria in refugee camps these people do not have the feeling that they will be rescute ful the camp very soon and if you want to make something out of your life then you think	and it's i think four years now that we see refugees from syria in refugee camps these people do not have the feeling that they will be rescute ful the camp very soon and if you want to make something out of your life then you think	0	15.65	47	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/150_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/150_2015071601.wav.pcm.txt
567	151	2015071601	i'll move on i'll find better better better circumstances so what we see is people that have been a refugee for years already stuck in containers and tents somewhere in the middle of nowhere without the possibility to start over their life an trying to reac europe	i'll move on i'll find better better better circumstances so what we see is people that have been a refugee for years already stuck in containers and tents somewhere in the middle of nowhere without the possibility to start over their life an trying to reac europe	0	19.35	47	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/151_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/151_2015071601.wav.pcm.txt
568	152	2015071601	if we know that we know that extra border control or military activities is not going to help people try to find a better life so with that in mind my personal opinion is that the only way to stop boats on the mediterranean is a legal route an	if we know that we know that extra border control or military activities is not going to help people try to find a better life so with that in mind my personal opinion is that the only way to stop boats on the mediterranean is a legal route an	0	20.15	49	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/152_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/152_2015071601.wav.pcm.txt
569	153	2015071601	i'll high like a couple of things in this paper that have not been set a a yet by my colleagues and and one is on theer administration of families and relatives we see a the needs for aa more a gene generous	i'll high like a couple of things in this paper that have not been set a a yet by my colleagues and and one is on theer administration of families and relatives we see a the needs for aa more a gene generous	0	20.25	43	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015071601/153_2015071601.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015071601/153_2015071601.wav.pcm.txt
570	30	20150903	before we go to the votes i want to am just have some updates on our an on going trialogues if i could begin with an a rapider caterina ceneci on the an presentation of the state of play on the direct ofor potetro safeguards for children a suspects anigti place on the fourteenth of july caterina soculd you give ur a shot up dat please on the amtrialog please go ahead	before we go to the votes i want to am just have some updates on our an on going trialogues if i could begin with an a rapider caterina ceneci on the an presentation of the state of play on the direct ofor potetro safeguards for children a suspects anigti place on the fourteenth of july caterina soculd you give ur a shot up dat please on the amtrialog please go ahead	0	21.55	72	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/030_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/030_20150903.wav.pcm.txt
571	32	20150903	i would like to thank the presidency for the a open cooperative spirit that they have shown and their commitment to the the theme they are committed to trying to find solutions that take into account to parliament's positions	i would like to thank the presidency for the a open cooperative spirit that they have shown and their commitment to the the theme they are committed to trying to find solutions that take into account to parliament's positions	0	15.65	39	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/032_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/032_20150903.wav.pcm.txt
572	33	20150903	and hopefully theyre also shownu commitment to a getting the texfinalized quickly they intend to fina lice the text during this autumn so eh that's to say within their presidency	and hopefully theyre also shownu commitment to a getting the texfinalized quickly they intend to fina lice the text during this autumn so eh that's to say within their presidency	0	19.35	30	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/033_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/033_20150903.wav.pcm.txt
573	34	20150903	all parts in the trialogue have been the constructive and the atechnical meetings have also done a lot of good work that provided as the good a base to work on we've also had good co operation with the shadaw apoirteurs and i like to thank them so much for all their co operation i won't go into technical details right now	all parts in the trialogue have been the constructive and the atechnical meetings have also done a lot of good work that provided as the good a base to work on we've also had good co operation with the shadaw apoirteurs and i like to thank them so much for all their co operation i won't go into technical details right now	0	20.55	62	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/034_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/034_20150903.wav.pcm.txt
574	35	20150903	i can tell you ittle bit about the agreements that we've already got on some of the important points in the guarantees to for defense for a at minors in court cases one important factor is the presumption of the minor state as where it's difficult to er	i can tell you ittle bit about the agreements that we've already got on some of the important points in the guarantees to for defense for a at minors in court cases one important factor is the presumption of the minor state as where it's difficult to er	0	25.15	48	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/035_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/035_20150903.wav.pcm.txt
575	36	20150903	a precisely ascertained the age of the a minor concerned another evewhere ve got an agreement is on the right to information we had quite a farough going debate on this that we have found the solution which i feel would allow us to give all of the necessary a information to the a person under investigation	a precisely ascertained the age of the a minor concerned another evewhere ve got an agreement is on the right to information we had quite a farough going debate on this that we have found the solution which i feel would allow us to give all of the necessary a information to the a person under investigation	0	29.25	57	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/036_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/036_20150903.wav.pcm.txt
576	37	20150903	without overburdening the authorities with information to provide but basic information about rights and e procedral a safeguards that every one can enjoy another important agreement is on a a individual were er interrogation of the atminor another	without overburdening the authorities with information to provide but basic information about rights and e procedral a safeguards that every one can enjoy another important agreement is on a a individual were er interrogation of the atminor another	0	27.55	38	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/037_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/037_20150903.wav.pcm.txt
577	38	20150903	e aspect is to try and to insure that each a miner is treated as an individual to find the best possible a measures to take then on a medical examination there has been quite a thorough going do bat on that because there was a lot of resistance on the part of the council	e aspect is to try and to insure that each a miner is treated as an individual to find the best possible a measures to take then on a medical examination there has been quite a thorough going do bat on that because there was a lot of resistance on the part of the council	0	16.75	55	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/038_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/038_20150903.wav.pcm.txt
578	39	20150903	in following up the a parliaments a request which expanded abroadened the right's medical examination we got the mbore a broad to medical care but i think we have got a a the basis for compromise they have accepted the principle that a a minor deprived the personal liberty has the right to boal the necessary medical care	in following up the a parliaments a request which expanded abroadened the right's medical examination we got the mbore a broad to medical care but i think we have got a a the basis for compromise they have accepted the principle that a a minor deprived the personal liberty has the right to boal the necessary medical care	0	21.95	58	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/039_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/039_20150903.wav.pcm.txt
579	40	20150903	an not just urgent medical care so i do think we have had good compromise we still need to finely define the compromises on some of the articles one that i feel is important is the one specialised training for all of those who work in er	an not just urgent medical care so i do think we have had good compromise we still need to finely define the compromises on some of the articles one that i feel is important is the one specialised training for all of those who work in er	0	21.25	47	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150903/040_20150903.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150903/040_20150903.wav.pcm.txt
580	381	20150907	a competence authorities and here we can think of a investigators police prosecutors and courts judges and lack specific training awareness and understanding of hate speech and hate crime in some cases ere treateds is general charactcrimes the aggravation are the hate aggravation isn't taken into account and thats that's another complicating matter	a competence authorities and here we can think of a investigators police prosecutors and courts judges and lack specific training awareness and understanding of hate speech and hate crime in some cases ere treateds is general charactcrimes the aggravation are the hate aggravation isn't taken into account and thats that's another complicating matter	0	24.15	53	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/381_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/381_20150907.wav.pcm.txt
581	382	20150907	if i cold sent o the next slide now please for the for the recommendations or very briefly some some recommendations to build on those points that iave just just made infringement proceedings proceedings could be initiated by those mamur states failing to comply with our obligations we heard infringement proceedings ad suggested earlier in the meeting to day	if i cold sent o the next slide now please for the for the recommendations or very briefly some some recommendations to build on those points that iave just just made infringement proceedings proceedings could be initiated by those mamur states failing to comply with our obligations we heard infringement proceedings ad suggested earlier in the meeting to day	0	22.05	59	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/382_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/382_20150907.wav.pcm.txt
582	384	20150907	at date of collection of course needs to be strengthened wih wi've heard that already this afternoon so i will am a skipper over that and at victims i m also needs to be encouraged an supported to to report ser crimes and particular measures are and arand away at the moment who were to encourage reporting and recording and this is this is a key area ato try and gain inaccurate picture	at date of collection of course needs to be strengthened wih wi've heard that already this afternoon so i will am a skipper over that and at victims i m also needs to be encouraged an supported to to report ser crimes and particular measures are and arand away at the moment who were to encourage reporting and recording and this is this is a key area ato try and gain inaccurate picture	0	27.15	73	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/384_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/384_20150907.wav.pcm.txt
583	385	20150907	i culd turn to the next slide please thank you a turning to a tu to blaspherme now and ter religious insults and we discuss both in the injur rim reports although in my brief comments that i am going to make a i'll be focusing on the solly onblaspheming	i culd turn to the next slide please thank you a turning to a tu to blaspherme now and ter religious insults and we discuss both in the injur rim reports although in my brief comments that i am going to make a i'll be focusing on the solly onblaspheming	0	23.05	50	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/385_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/385_20150907.wav.pcm.txt
584	386	20150907	the key things to to point out and from the research that it is very evident that member states rarely use blasphemy laws an there are there are prosecutions and completed judgments but but relatively few	the key things to to point out and from the research that it is very evident that member states rarely use blasphemy laws an there are there are prosecutions and completed judgments but but relatively few	0	15.75	36	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/386_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/386_20150907.wav.pcm.txt
585	387	20150907	er strict thresholds or setfoort for about the limits of freedom of expression freedom of conscience and thought ander an that's one explanation for an the relatively small number of fi of the er prosecutions aunderblasphemy laws in fact the a respect for freedoms of ar expression of freedom of conscience seem to prevail and against blosphemy	er strict thresholds or setfoort for about the limits of freedom of expression freedom of conscience and thought ander an that's one explanation for an the relatively small number of fi of the er prosecutions aunderblasphemy laws in fact the a respect for freedoms of ar expression of freedom of conscience seem to prevail and against blosphemy	0	26.15	57	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/387_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/387_20150907.wav.pcm.txt
586	388	20150907	there's another point though and that is often the an the legislation of blasphemy is is n unclear an we see in some instances that the consects of of religion is is not well defined and and tis hinders an use and application of the an applicable provisions that are in place	there's another point though and that is often the an the legislation of blasphemy is is n unclear an we see in some instances that the consects of of religion is is not well defined and and tis hinders an use and application of the an applicable provisions that are in place	0	21.55	52	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/388_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/388_20150907.wav.pcm.txt
587	389	20150907	itas also been suggested unto us by national experts that's where blosphemy legislation is used and it can have a chilling efact it might have a chilling and effect essentially and lead to e self centorship	itas also been suggested unto us by national experts that's where blosphemy legislation is used and it can have a chilling efact it might have a chilling and effect essentially and lead to e self centorship	0	15.35	36	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/389_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/389_20150907.wav.pcm.txt
588	390	20150907	while a key recommendation a draught recommendation at o this points is that  er the necessity of penalizing blasphemy needs to be considered in lightof the ear the experience and practice of member states especially given that there's an ovelap	while a key recommendation a draught recommendation at o this points is that  er the necessity of penalizing blasphemy needs to be considered in lightof the ear the experience and practice of member states especially given that there's an ovelap	0	18.95	41	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/390_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/390_20150907.wav.pcm.txt
589	391	20150907	and between blasphemy and articles one and form of the of the council frame work decision in terms of a religious insults and religious aggravation for instance cotern toer to the next slide place thank you terning now to the ato the european ainstitutions the europian union institutions and sir ananson headline findings	and between blasphemy and articles one and form of the of the council frame work decision in terms of a religious insults and religious aggravation for instance cotern toer to the next slide place thank you terning now to the ato the european ainstitutions the europian union institutions and sir ananson headline findings	0	29.35	53	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150907/391_20150907.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150907/391_20150907.wav.pcm.txt
590	96	20150914	thank you antemisesgiam o willin  genatedai thank you bet close there sorrowis bet late at list i sak maria for her exell work a lot of good research went into it and as she has always been keen to work with chadeaus nobviously i support her approach	thank you antemisesgiam o willin  genatedai thank you bet close there sorrowis bet late at list i sak maria for her exell work a lot of good research went into it and as she has always been keen to work with chadeaus nobviously i support her approach	0	15.95	48	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150914/096_20150914.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150914/096_20150914.wav.pcm.txt
591	97	20150914	nonetheless i do want to focus on a couple of points first of all the points made by misses stevens	nonetheless i do want to focus on a couple of points first of all the points made by misses stevens	0	16.15	20	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150914/097_20150914.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150914/097_20150914.wav.pcm.txt
